Block Height(feet),Flow Out(%),Hookload(klbf),Top Drive Speed(RPM),Strokes Per Minute #1,Strokes Per Minute #2,Standpipe Pressure (psi),Top Drive Torque (ftlb),Rig State Code,Bit Depth(ft)
44.34,0,34.5,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.3,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,33.6,0,0,0,0.29,0,0,3000
44.34,0,33.5,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34.6,0,0,0,0.29,0,0,3000
44.34,0,34.8,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,33.6,0,0,0,0.29,0,0,3000
44.34,0,33.4,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.7,0,0,0,0.29,0,0,3000
44.34,0,34.9,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.37,0,34.2,0,0,0,0.29,0,0,3000
44.61,0,34.2,0,0,0,0.29,0,0,3000
45.16,0,34.4,0,0,0,0.29,0,0,3000
45.87,0,34.6,0,0,0,0.29,0,0,3000
46.75,0,34.2,0,0,0,0.29,0,0,3000
47.69,0,34.9,0,0,0,0.29,0,0,3000
48.3,0,36.1,0,0,0,0.29,0,0,3000
48.49,0,37.3,0.2,0,0,0.29,0,0,3000
48.49,0,37.4,0.3,0,0,0.29,0,0,3000
48.49,0,37.1,0,0,0,0.29,0,0,3000
48.49,0,37.1,0,0,0,0.29,0,0,3000
48.49,0,36.6,0,0,0,0.29,0,0,3000
48.49,0,36.2,0,0,0,0.29,0,0,3000
48.49,0,36.7,0,0,0,0.29,0,0,3000
48.49,0,37.1,0,0,0,0.29,0,0,3000
48.49,0,37.4,0,0,0,0.29,0,0,3000
48.42,0,36.9,0,0,0,0.29,0,0,3000
48.17,0,35.9,0,0,0,0.29,0,0,3000
47.76,0,35.5,0,0,0,0.29,0,0,3000
47.36,0,35.4,0,0,0,0.29,0,0,3000
47.06,0,34.7,0,0,0,0.29,0,0,3000
46.89,0,34.4,0,0,0,0.29,0,0,3000
46.78,0,34.8,0.2,0,0,0.29,0,0,3000
46.61,0,34,0.3,0,0,0.29,0,0,3000
46.33,0,33,0,0,0,0.29,0,0,3000
46.12,0,32.8,0,0,0,0.29,0,0,3000
46.12,0,33.4,0,0,0,0.29,0,0,3000
46.11,0,34.6,0,0,0,0.29,0,0,3000
46.08,0,35.7,0,0,0,0.29,0,0,3000
46,0,35.2,0,0,0,0.29,0,0,3000
45.95,0,34,0,0,0,0.29,0,0,3000
45.95,0,34.2,0,0,0,0.29,0,0,3000
45.9,0,34.9,0,0,0,0.29,0,0,3000
45.8,0,34.2,0,0,0,0.29,0,0,3000
45.77,0,32.5,0,0,0,0.29,0,0,3000
45.77,0,32.7,0,0,0,0.29,0,0,3000
45.77,0,33.4,0,0,0,0.29,0,0,3000
45.77,0,33.2,0,0,0,0.29,0,0,3000
45.77,0,33.1,0,0,0,0.29,0,0,3000
45.77,0,33.3,0,0,0,0.29,0,0,3000
45.77,0,33.3,0,0,0,0.29,0,0,3000
45.77,0,32.9,0,0,0,0.29,0,0,3000
45.77,0,33,0,0,0,0.29,0,0,3000
45.77,0,33.1,0,0,0,0.29,0,0,3000
45.77,0,32.9,0,0,0,0.29,0,0,3000
45.77,0,33,0,0,0,0.29,0,0,3000
45.77,0,33,0,0,0,0.29,0,0,3000
45.77,0,33.2,0,0,0,0.29,0,0,3000
45.77,0,33.2,0,0,0,0.29,0,0,3000
45.77,0,33.2,0,0,0,0.29,0,0,3000
45.77,0,33.4,0,0,0,0.29,0,0,3000
45.77,0,33.4,0,0,0,0.29,0,0,3000
45.77,0,33.7,0,0,0,0.29,0,0,3000
45.77,0,34.3,0,0,0,0.29,0,0,3000
45.77,0,34.1,0,0,0,0.29,0,0,3000
45.77,0,33.8,0,0,0,0.29,0,0,3000
45.77,0,34.6,0,0,0,0.29,0,0,3000
45.77,0,34.9,0,0,0,0.29,0,0,3000
45.77,0,35,0,0,0,0.29,0,0,3000
45.77,0,35.2,0,0,0,0.29,0,0,3000
45.77,0,35.4,0,0,0,0.29,0,0,3000
45.77,0,35.4,0,0,0,0.29,0,0,3000
45.77,0,35.5,0,0,0,0.29,0,0,3000
45.77,0,35.5,0,0,0,0.29,0,0,3000
45.77,0,35.6,0,0,0,0.29,0,0,3000
45.77,0,35.5,0,0,0,0.29,0,0,3000
45.77,0,35.4,0,0,0,0.29,0,0,3000
45.77,0,35.4,0,0,0,0.29,0,0,3000
45.77,0,35.5,0,0,0,0.29,0,0,3000
45.77,0,35.4,0,0,0,0.29,0,0,3000
45.77,0,35.2,0,0,0,0.29,0,0,3000
45.77,0,35,0,0,0,0.29,0,0,3000
45.77,0,34.8,0,0,0,0.29,0,0,3000
45.77,0,35.1,0,0,0,0.29,0,0,3000
